date,market_1,market_2,market_3,market_4,market_5,market_6,market_7,market_8
2016-01-01,2.0811488522735444,2.9340492501079303,1.9767121366379226,3.3308135429334818,3.0461600715287047,3.1555063390054188,2.4455867602807335,3.5743389910228354
2016-01-02,2.092525462150347,2.9513472349503123,1.9978469196477278,3.3555577085604473,3.0513430130334696,3.172642396768577,2.46591480473673,3.592842098758854
2016-01-03,2.1079698681482903,2.948718899833582,2.006051665645459,3.356672612103492,3.058393204504386,3.1710834606485627,2.4683971235013336,3.609323678986162
2016-01-04,2.1002602510879593,2.939669252297963,1.996712493889347,3.34840680711591,3.047658755387393,3.164990980881623,2.4642325067044886,3.6043649620913767
2016-01-05,2.0895550307230053,2.9383241438389294,1.9995517683761717,3.349997112529513,3.0466058237807805,3.157177177761202,2.466127714955261,3.61240348857253
2016-01-06,2.0810635416326684,2.942552994252407,2.0057202451791953,3.3481400045712366,3.054743436064473,3.1488277496448296,2.463364384062405,3.6392826787241463
2016-01-07,2.070313583248669,2.945641674115723,2.012071389522817,3.347293453262041,3.060323022996859,3.1438141748547372,2.469535053625844,3.663714668612478
2016-01-08,2.0548483884627586,2.9481228172215355,2.019769498568983,3.34534044021575,3.070834561470441,3.140223214671412,2.4824836230283953,3.694693852994971
2016-01-09,2.0561818116180484,2.9522166220989394,2.0456874485429832,3.366030382698509,3.091285937077725,3.160349792009031,2.506470048822128,3.729962853064052
2016-01-10,2.0535398668291056,2.95599906145393,2.0583824904124124,3.37429498515484,3.108888220844425,3.1825507400429394,2.5299438868521276,3.7365112539292475
2016-01-11,2.028584245156713,2.9604557766717647,2.0505997952342154,3.3484661714086315,3.1129214708155377,3.1720574094777088,2.5297892305642407,3.727269504739516
2016-01-12,2.0294888248642575,2.9658229014759607,2.0403050088176222,3.348409696927458,3.1119380790353155,3.1831014934823103,2.525605766665106,3.716255880769091
2016-01-13,2.021564209766167,2.9618527380007236,2.0389574275382527,3.35238639229006,3.1110063800021703,3.197004973465566,2.533615585341144,3.7087851394390468
2016-01-14,2.0080784148095794,2.953322524295594,2.0399996542586574,3.3573595732707058,3.1133213133351143,3.206327112486947,2.5424106674101776,3.704952754523326
2016-01-15,1.9942451080510295,2.964614957958215,2.0410168430751017,3.368654353730105,3.1127146761315134,3.2199466485116783,2.5515724795120707,3.712905714544008
2016-01-16,2.0047370962328404,2.9805702449591447,2.0429709737942225,3.392955721468113,3.1197974276679408,3.2462412458590375,2.5683229217282904,3.7243286803421043
2016-01-17,2.007413662543614,2.982189968692559,2.034097109402379,3.405927115184845,3.1236508114295254,3.2525973861043616,2.585305671504243,3.7335653073717316
2016-01-18,1.9899608294605386,2.9747298760451395,2.0242885873009198,3.4044323527216545,3.1086633698279575,3.2293129973014514,2.5752518843799077,3.720226603733717
2016-01-19,1.9868686749823705,2.963453633751967,2.0381487084518866,3.397697948813486,3.1036374300382628,3.2210561428008155,2.5699118338670677,3.7065664665277316
2016-01-20,1.9908725271895686,2.9608209081194796,2.050863086380793,3.3987104802413755,3.1103800356958353,3.223292968994479,2.5680602823028007,3.7076620012344415
2016-01-21,1.9877299374839867,2.961319220535323,2.0634896688264446,3.40046509329595,3.1195550881718486,3.2292634477091013,2.5651388120612073,3.715155696425717
2016-01-22,1.9794326349593045,2.966319596220152,2.0684925820319546,3.405257826615444,3.1344346592662795,3.239081535388682,2.569755875813559,3.732434778151294
2016-01-23,1.986884580873193,2.981347969521265,2.0978542578390225,3.427927896367221,3.157815326489366,3.2453991499323807,2.594234647656156,3.7686438505766997
2016-01-24,1.9830419484993795,2.984230959625715,2.1030751538138306,3.428514550770474,3.153528382883957,3.2490415601113543,2.597098626919207,3.7789485818191366
2016-01-25,1.970577580545309,2.9664253419251265,2.0952488565752794,3.429881736547347,3.1231760551542163,3.2536148094716997,2.5940300025450096,3.774498025822865
2016-01-26,1.9736071316367287,2.961877849798298,2.085461533934258,3.428195969252713,3.11219499573342,3.2574869984263057,2.596701649284095,3.7814528160570333
2016-01-27,1.981124728533477,2.9581476997134617,2.0898921939089448,3.425869923145442,3.1108980058490525,3.2587039210737867,2.6067868830897707,3.7984319997825504
2016-01-28,1.9884236513904596,2.9533714138922362,2.086811240466366,3.416591152794838,3.1127786347977633,3.2578537681703317,2.6159073335325695,3.8182949241758988
2016-01-29,1.9957838202152547,2.9390718206393647,2.0719343840811586,3.4198625801084264,3.1162622660578663,3.2568161451131616,2.614762392121171,3.8295492791947723
2016-01-30,2.0235545919518843,2.94891041820138,2.068711369968373,3.451439729392281,3.142046407948991,3.269105870814057,2.62724701356841,3.853622519498772
2016-01-31,2.0210593104752106,2.963915931187506,2.0675277311759253,3.462637674381779,3.1562000561989554,3.2829940036246503,2.62566171407447,3.8551529230522164
2016-02-01,1.9994695106337246,2.9579611409471704,2.0129252377284,3.443473937646935,3.1472300054983617,3.2672855437332258,2.582613137823744,3.8459948299651727
2016-02-02,1.997879160533714,2.962810679332351,2.0188212348852796,3.4521644266955427,3.1516100958190996,3.2678298012227325,2.5831350963929696,3.846478867606507
2016-02-03,1.991205529274834,2.968575559020624,2.026870542204362,3.4574209722167515,3.1622656208318736,3.272577013249899,2.5835176932838437,3.845649448961966
2016-02-04,1.9825202703726834,2.9710308907928344,2.0279595117728495,3.45932833304693,3.1699256697860227,3.280335233545861,2.588480798785844,3.8441186434423202
2016-02-05,1.9759885215722575,2.974915696505981,2.0259405382125033,3.4537349391597902,3.174119019320695,3.2955544767817915,2.5998226338976056,3.847547871777929
